,day,month,year,team1,goal1,goal2,team2
590,17,11,20,Spain,6,0,Germany
591,14,11,20,Switzerland,1,1,Spain
592,11,11,20,Netherlands,1,1,Spain
593,13,10,20,Ukraine,1,0,Spain
594,10,10,20,Spain,1,0,Switzerland
595,07,10,20,Portugal,0,0,Spain
596,06,09,20,Spain,4,0,Ukraine
597,03,09,20,Germany,1,1,Spain
598,18,11,19,Spain,5,0,Romania
599,15,11,19,Spain,7,0,Malta
600,15,10,19,Sweden,1,1,Spain
601,12,10,19,Norway,1,1,Spain
602,08,09,19,Spain,4,0,Faroe Islands
603,05,09,19,Romania,1,2,Spain
604,10,06,19,Spain,3,0,Sweden
605,07,06,19,Faroe Islands,1,4,Spain
606,26,03,19,Malta,0,2,Spain
607,23,03,19,Spain,2,1,Norway
608,18,11,18,Spain,1,0,Bosnia & Herzegovina
609,15,11,18,Croatia,3,2,Spain
610,15,10,18,Spain,2,3,England
611,11,10,18,Wales,1,4,Spain
612,11,09,18,Spain,6,0,Croatia
613,08,09,18,England,1,2,Spain
614,01,07,18,Spain,3,4,Russia
615,25,06,18,Spain,2,2,Morocco
616,05,06,21,Sweden,3,1,Armenia
617,29,05,21,Sweden,2,0,Finland
618,31,03,21,Sweden,1,0,Estonia
619,28,03,21,Kosovo,0,3,Sweden
620,25,03,21,Sweden,1,0,Georgia
621,17,11,20,France,4,2,Sweden
622,14,11,20,Sweden,2,1,Croatia
623,11,11,20,Denmark,2,0,Sweden
624,14,10,20,Portugal,3,0,Sweden
